ccn,state,name,city,zip,hospital_type,ownership,parent_or_hint,mrf_url,notes
150115,IN,Memorial Hospital and Health Care Center,Jasper,47546,Acute Care Hospitals,Voluntary non-profit - Private,independent,https://search.hospitalpriceindex.com/hpi2/machineReadable/deaconessmemorialhospitalandhealthcenter/12036,now Deaconess Memorial Medical Center
150149,IN,The Women's Hospital,Newburgh,47630,Acute Care Hospitals,Proprietary,Deaconess Health System,https://search.hospitalpriceindex.com/hpi2/hospital/thewomenshospitaldeaconess/8113or,
150172,IN,Physicians' Medical Center LLC,New Albany,47150,Acute Care Hospitals,Physician,physician-owned,https://clariti-health.com/csp/clariti/QuotableService.csp?orgKey=4345WE,PMC Regional
151312,IN,Indiana University Health White Memorial Hospital,Monticello,47960,Critical Access Hospitals,Voluntary non-profit - Private,IU Health,https://cdn.iuhealth.org/resources/273532963_indiana-university-health-white-memorial-hospital-inc._standardcharges.zip,
151319,IN,Gibson General Hospital,Princeton,47670,Critical Access Hospitals,Voluntary non-profit - Private,independent,https://search.hospitalpriceindex.com/hpi2/hospital/gibsongeneralhospital/8110or,
154020,IN,Regional Mental Health Center,Merrillville,46410,Psychiatric,Voluntary non-profit - Private,independent,https://www.rhs.care/wp-content/uploads/2025/09/351375696_strawhun_standardcharges.csv,
154052,IN,Porter-Starke Services Inc,Valparaiso,46383,Psychiatric,Voluntary non-profit - Private,independent,"https://porterstarke.org/images/2026/351330771_porter-starke-services,-inc._standardcharges.csv",
154058,IN,Doctors Neuropsychiatric Hospital,Bremen,46506,Psychiatric,Proprietary,independent,"https://www.neuropsychiatrichospitals.net/price-transparency/452471121_doctors-behavioral-hospital,-llc_standardcharges.csv",
154061,IN,Medical Behavioral Hospital - Mishawaka,Mishawaka,46545,Psychiatric,Proprietary,independent,"https://www.neuropsychiatrichospitals.net/price-transparency/471265300_rivercrest-specialty-hospital,-llc_standardcharges.csv",now RiverCrest Specialty Hospital
154063,IN,"Neuropsychiatric Hospital of Indianapolis, LLC",Indianapolis,46254,Psychiatric,Proprietary,independent,"https://www.neuropsychiatrichospitals.net/price-transparency/473943366_neuropsychiatric-hospital-of-indianapolis,-llc_standardcharges.csv",
154065,IN,Neuro Behavioral Hospital,Crown Point,46307,Psychiatric,Proprietary,independent,"https://www.neuropsychiatrichospitals.net/price-transparency/822569371_neurobehavioral-hospital,-llc_standardcharges.csv",
154066,IN,Brightwell Behavioral Health,Clarksville,47129,Psychiatric,Proprietary,independent / new facility,https://brightwellbehavioral.com/s/831779940_brightwellbehavioralhealth_machine-readable-file.csv,
